TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
85.35,Debit,ATM,66.0,Retired,166.0,1.0,2173.76,0
79.76,Debit,Branch,39.0,Engineer,170.0,1.0,6452.14,1
778.49,Credit,Online,75.0,Retired,107.0,1.0,7713.67,3
386.38,Debit,Online,42.0,Engineer,135.0,1.0,5528.36,3
165.25,Debit,Online,35.0,Doctor,106.0,1.0,9939.94,3
14.29,Debit,ATM,34.0,Engineer,150.0,1.0,7016.99,0
232.79,Credit,Branch,55.0,Retired,145.0,1.0,2661.3,1
1237.56,Credit,Branch,60.0,Engineer,159.0,1.0,9410.17,1
293.97,Debit,Branch,68.0,Retired,153.0,1.0,7371.85,1
136.32,Debit,Online,19.0,Student,113.0,1.0,264.83,3
251.06,Debit,Online,36.0,Doctor,34.0,1.0,10001.66,3
50.17,Credit,ATM,77.0,Retired,35.0,1.0,7752.14,0
21.4,Debit,Branch,34.0,Engineer,258.0,1.0,9594.11,1
73.28,Debit,Branch,21.0,Student,21.0,1.0,1329.41,1
70.23,Debit,ATM,38.0,Doctor,260.0,1.0,11624.93,0
689.29,Debit,ATM,22.0,Student,100.0,1.0,168.84,0
745.03,Debit,Online,28.0,Student,231.0,1.0,160.57,3
54.61,Debit,ATM,58.0,Engineer,160.0,1.0,7135.64,0
54.05,Debit,Branch,27.0,Student,146.0,1.0,469.14,1
107.47,Debit,Online,67.0,Retired,144.0,1.0,7517.5,3
611.11,Debit,ATM,20.0,Student,282.0,4.0,919.84,2
219.63,Debit,ATM,48.0,Doctor,44.0,1.0,8013.63,0
93.52,Debit,Online,51.0,Engineer,97.0,1.0,2791.2,3
275.92,Credit,Branch,62.0,Retired,107.0,1.0,1777.38,1
376.79,Debit,Branch,68.0,Retired,265.0,1.0,7749.14,1
697.32,Debit,Online,68.0,Retired,91.0,1.0,2016.02,3
302.16,Debit,Online,80.0,Retired,138.0,5.0,3876.61,2
442.74,Debit,Branch,23.0,Student,136.0,1.0,1790.27,1
623.9,Debit,ATM,27.0,Student,249.0,1.0,711.47,0
445.41,Debit,ATM,35.0,Doctor,235.0,3.0,12154.66,2
63.41,Debit,ATM,26.0,Student,36.0,1.0,1546.22,0
346.85,Debit,ATM,44.0,Doctor,88.0,1.0,7208.15,0
71.95,Credit,Online,59.0,Engineer,53.0,1.0,9267.32,3
7.5,Debit,Online,63.0,Retired,36.0,1.0,6485.78,3
206.46,Debit,ATM,65.0,Retired,279.0,1.0,3984.38,0
423.11,Debit,ATM,60.0,Engineer,47.0,1.0,412.78,0
35.84,Credit,Online,54.0,Retired,172.0,1.0,4795.65,3
88.6,Credit,Branch,28.0,Student,105.0,1.0,246.57,1
1431.3,Debit,ATM,18.0,Student,168.0,1.0,1058.13,0
22.46,Debit,Online,54.0,Retired,78.0,1.0,6631.5,3
334.89,Debit,Online,21.0,Student,260.0,1.0,1661.68,3
319.27,Credit,Online,54.0,Retired,59.0,1.0,5504.01,3
144.3,Debit,ATM,18.0,Student,88.0,1.0,312.19,0
348.7,Credit,Branch,69.0,Retired,149.0,1.0,2445.58,1
366.21,Debit,ATM,62.0,Doctor,181.0,1.0,10862.99,0
99.11,Debit,Online,55.0,Retired,12.0,1.0,5414.87,3
539.35,Debit,ATM,55.0,Retired,127.0,1.0,3919.44,0
188.99,Debit,Branch,58.0,Engineer,92.0,1.0,7315.34,1
1416.69,Debit,ATM,46.0,Engineer,58.0,1.0,3740.73,0
710.14,Debit,ATM,26.0,Student,227.0,1.0,465.63,0
308.68,Debit,Online,53.0,Doctor,170.0,1.0,9992.36,3
166.68,Debit,ATM,57.0,Retired,139.0,1.0,5141.19,0
505.19,Debit,ATM,30.0,Doctor,128.0,5.0,5326.68,2
66.58,Debit,Branch,23.0,Student,79.0,1.0,1636.32,1
223.43,Debit,Branch,77.0,Retired,178.0,1.0,7932.41,1
659.95,Debit,Online,60.0,Engineer,114.0,1.0,3927.69,3
634.86,Debit,ATM,27.0,Student,45.0,1.0,588.5,0
286.5,Credit,Branch,30.0,Engineer,60.0,1.0,8517.95,1
322.96,Credit,Branch,76.0,Retired,168.0,1.0,2401.59,1
654.48,Debit,Branch,19.0,Student,114.0,1.0,6776.41,1
157.97,Debit,Branch,48.0,Doctor,140.0,1.0,5529.92,1
254.77,Debit,Branch,57.0,Engineer,57.0,1.0,5994.87,1
795.96,Debit,Online,65.0,Retired,119.0,1.0,5468.58,3
149.25,Debit,ATM,39.0,Engineer,142.0,1.0,5677.52,0
68.19,Credit,Online,40.0,Doctor,189.0,1.0,9895.1,3
37.57,Debit,ATM,57.0,Retired,42.0,1.0,7739.54,0
127.0,Credit,Branch,19.0,Student,68.0,5.0,431.16,2
448.33,Debit,ATM,25.0,Student,161.0,1.0,922.19,0
1116.48,Debit,ATM,51.0,Engineer,55.0,1.0,447.53,0
8.65,Debit,Online,48.0,Doctor,273.0,1.0,10778.35,3
539.81,Debit,Online,46.0,Engineer,177.0,1.0,2051.25,3
363.53,Debit,ATM,63.0,Retired,142.0,1.0,1038.91,0
64.9,Credit,Branch,51.0,Retired,72.0,1.0,6854.61,1
358.18,Debit,ATM,18.0,Student,157.0,1.0,619.86,0
167.2,Debit,Branch,30.0,Doctor,84.0,1.0,11320.83,1
121.91,Debit,Branch,60.0,Doctor,133.0,1.0,14510.8,1
137.57,Debit,Online,54.0,Engineer,70.0,1.0,5103.67,3
534.62,Debit,Online,55.0,Doctor,45.0,1.0,13793.53,3
463.92,Debit,Online,50.0,Engineer,199.0,1.0,2403.39,3
320.14,Debit,Online,60.0,Retired,96.0,1.0,3075.97,3
214.93,Debit,Online,28.0,Student,52.0,1.0,7835.4,3
660.02,Debit,Branch,20.0,Student,84.0,1.0,414.43,1
345.81,Debit,Branch,40.0,Engineer,135.0,1.0,6116.8,1
143.54,Debit,ATM,71.0,Retired,80.0,1.0,6067.62,0
42.55,Debit,Branch,53.0,Engineer,29.0,1.0,7341.43,1
1063.25,Credit,Online,21.0,Student,128.0,1.0,1240.71,3
541.79,Debit,ATM,22.0,Student,125.0,1.0,1454.08,0
40.57,Debit,Branch,26.0,Student,63.0,1.0,1476.91,1
120.24,Debit,Branch,18.0,Student,131.0,2.0,1943.13,1
498.67,Debit,Online,28.0,Student,244.0,1.0,1719.97,3
227.22,Debit,ATM,53.0,Doctor,220.0,1.0,832.82,0
1182.86,Debit,Online,30.0,Engineer,34.0,1.0,7696.16,3
59.44,Debit,Online,35.0,Engineer,176.0,1.0,5472.03,3
186.69,Debit,Branch,30.0,Engineer,54.0,1.0,8602.22,1
230.46,Debit,Online,19.0,Student,179.0,1.0,162.53,3
65.09,Credit,Online,44.0,Engineer,159.0,1.0,9370.9,3
457.09,Credit,Online,55.0,Engineer,63.0,1.0,8570.82,3
552.02,Credit,ATM,44.0,Engineer,100.0,1.0,522.08,0
377.12,Debit,ATM,34.0,Engineer,61.0,1.0,836.67,0
204.56,Credit,Branch,18.0,Student,179.0,1.0,364.72,1
420.28,Debit,Branch,35.0,Doctor,144.0,1.0,8557.32,1
97.09,Debit,ATM,24.0,Student,202.0,4.0,1579.57,2
124.59,Debit,Branch,27.0,Student,171.0,1.0,129.29,1
73.88,Debit,Online,39.0,Doctor,34.0,1.0,6474.41,3
106.16,Debit,ATM,56.0,Doctor,277.0,4.0,7487.79,2
245.93,Debit,Branch,54.0,Engineer,172.0,1.0,7986.63,1
622.41,Debit,ATM,64.0,Doctor,125.0,1.0,7322.01,0
43.73,Debit,ATM,34.0,Doctor,145.0,1.0,9929.43,0
1282.86,Debit,Branch,19.0,Student,68.0,1.0,1830.98,1
2.03,Credit,ATM,33.0,Engineer,28.0,1.0,3012.31,0
770.65,Debit,Online,31.0,Doctor,137.0,1.0,7198.8,3
260.31,Debit,Branch,63.0,Doctor,113.0,1.0,10980.38,1
356.1,Credit,Branch,26.0,Student,187.0,1.0,868.35,1
27.07,Credit,Branch,80.0,Retired,39.0,1.0,3773.29,1
119.89,Debit,ATM,67.0,Doctor,60.0,1.0,6697.77,0
106.39,Debit,Online,37.0,Doctor,281.0,1.0,9410.99,3
12.04,Debit,Online,37.0,Engineer,58.0,1.0,6213.32,3
365.7,Debit,Branch,21.0,Student,115.0,2.0,368.78,1
29.38,Credit,Branch,28.0,Student,63.0,1.0,1663.31,1
319.85,Debit,ATM,60.0,Doctor,148.0,1.0,711.66,0
350.14,Credit,Online,75.0,Retired,38.0,1.0,2403.25,3
163.94,Credit,Branch,52.0,Retired,73.0,1.0,5957.37,1
170.53,Debit,Branch,24.0,Student,58.0,1.0,801.01,1
262.22,Credit,ATM,40.0,Engineer,136.0,1.0,5711.71,0
41.49,Debit,Online,24.0,Student,13.0,1.0,928.33,3
121.43,Credit,Branch,52.0,Engineer,243.0,1.0,7365.28,1
350.46,Debit,Branch,51.0,Retired,165.0,1.0,5839.38,1
220.41,Credit,Online,26.0,Engineer,155.0,1.0,5116.98,3
33.46,Debit,ATM,72.0,Retired,111.0,1.0,3641.07,0
104.79,Debit,ATM,70.0,Doctor,223.0,1.0,1352.19,0
246.27,Debit,Online,29.0,Doctor,141.0,1.0,7299.86,3
48.85,Debit,ATM,19.0,Student,176.0,1.0,1503.56,0
332.0,Debit,ATM,69.0,Retired,17.0,1.0,5943.13,0
118.1,Debit,Online,54.0,Engineer,167.0,1.0,895.66,3
84.59,Credit,Branch,67.0,Doctor,10.0,1.0,5669.1,1
295.64,Debit,Online,21.0,Student,82.0,1.0,1061.96,3
514.33,Debit,Branch,25.0,Student,160.0,1.0,1592.94,1
94.59,Debit,Online,39.0,Doctor,34.0,1.0,6171.89,3
80.43,Debit,Branch,59.0,Retired,157.0,1.0,5987.67,1
54.25,Debit,Online,68.0,Doctor,37.0,1.0,14783.33,3
178.88,Credit,Branch,76.0,Retired,93.0,4.0,4708.29,2
518.85,Debit,Online,22.0,Student,82.0,1.0,1806.0,3
10.65,Debit,Online,54.0,Doctor,161.0,1.0,13240.72,3
198.62,Credit,Branch,27.0,Student,84.0,1.0,1196.07,1
107.03,Debit,Branch,27.0,Student,73.0,1.0,1408.07,1
139.57,Debit,ATM,19.0,Student,263.0,3.0,271.78,2
346.11,Debit,Branch,41.0,Engineer,213.0,1.0,9551.64,1
138.06,Debit,Branch,44.0,Engineer,159.0,1.0,1070.47,1
158.02,Debit,ATM,49.0,Engineer,120.0,1.0,9374.24,0
830.01,Credit,Online,66.0,Retired,96.0,1.0,4253.18,3
110.49,Debit,Online,57.0,Doctor,48.0,1.0,10483.93,3
329.4,Debit,Online,34.0,Doctor,68.0,1.0,9588.07,3
635.4,Debit,ATM,47.0,Doctor,106.0,1.0,1238.11,0
769.97,Debit,Branch,22.0,Student,23.0,1.0,1244.93,1
175.07,Debit,Branch,26.0,Student,169.0,1.0,1040.25,1
7.31,Debit,Branch,78.0,Retired,282.0,1.0,5757.67,1
32.54,Debit,Online,25.0,Student,183.0,4.0,1544.88,2
56.12,Debit,ATM,30.0,Doctor,102.0,1.0,8839.67,0
424.7,Credit,Online,56.0,Retired,178.0,1.0,6239.89,3
35.73,Debit,Branch,65.0,Doctor,87.0,1.0,9073.17,1
3.44,Debit,ATM,78.0,Retired,108.0,1.0,7561.33,0
1342.25,Credit,Branch,21.0,Student,235.0,1.0,694.03,1
139.03,Credit,Online,50.0,Engineer,81.0,1.0,2276.57,3
254.92,Credit,ATM,28.0,Engineer,169.0,1.0,2791.12,0
115.11,Debit,Online,28.0,Engineer,139.0,1.0,9808.97,3
171.11,Debit,ATM,57.0,Retired,171.0,1.0,6324.09,0
168.54,Debit,ATM,70.0,Doctor,142.0,2.0,13406.0,0
408.46,Debit,Branch,64.0,Retired,28.0,1.0,3140.79,1
1162.42,Credit,Online,30.0,Doctor,45.0,1.0,10357.26,3
342.17,Credit,Branch,21.0,Student,247.0,1.0,461.83,1
580.71,Debit,ATM,53.0,Engineer,95.0,1.0,5670.0,0
821.54,Credit,Branch,79.0,Retired,36.0,1.0,4040.32,1
253.47,Debit,Branch,20.0,Student,238.0,1.0,220.51,1
22.81,Debit,Online,62.0,Retired,75.0,1.0,3634.76,3
266.57,Credit,Online,39.0,Engineer,96.0,1.0,7180.48,3
374.61,Credit,Online,75.0,Retired,37.0,1.0,1389.71,3
339.35,Credit,ATM,78.0,Retired,70.0,1.0,5002.7,0
810.36,Debit,ATM,20.0,Student,67.0,1.0,9239.12,0
9.83,Debit,ATM,24.0,Student,86.0,1.0,666.42,0
135.57,Credit,Branch,51.0,Doctor,116.0,1.0,11351.64,1
340.05,Debit,ATM,43.0,Engineer,37.0,1.0,7234.15,0
283.45,Debit,Branch,27.0,Engineer,127.0,1.0,2049.51,1
100.99,Debit,ATM,68.0,Doctor,114.0,1.0,8865.27,0
90.88,Debit,Branch,18.0,Student,176.0,1.0,3908.47,1
655.15,Debit,ATM,26.0,Engineer,264.0,1.0,5587.44,0
320.55,Debit,Online,50.0,Engineer,118.0,1.0,438.75,3
41.51,Debit,Online,28.0,Student,48.0,1.0,609.6,3
71.53,Credit,Branch,68.0,Retired,39.0,1.0,2393.73,1
467.13,Credit,Branch,54.0,Retired,45.0,1.0,3914.84,1
235.4,Debit,Branch,28.0,Student,70.0,1.0,818.36,1
159.32,Debit,Branch,18.0,Student,100.0,1.0,304.44,1
50.83,Credit,Online,30.0,Doctor,48.0,1.0,9553.42,3
56.89,Credit,Branch,59.0,Engineer,56.0,1.0,3034.67,1
20.22,Debit,ATM,43.0,Engineer,138.0,1.0,5515.32,0
50.4,Debit,Branch,36.0,Doctor,84.0,1.0,1677.01,1
73.88,Debit,Branch,53.0,Retired,131.0,1.0,4055.55,1
119.61,Debit,ATM,33.0,Doctor,53.0,1.0,9899.94,0
1241.05,Debit,Branch,18.0,Student,129.0,1.0,756.74,1
116.58,Debit,Branch,43.0,Engineer,247.0,1.0,2620.74,1
1919.11,Debit,ATM,30.0,Doctor,161.0,1.0,11090.24,0
391.96,Debit,ATM,64.0,Retired,79.0,1.0,2174.16,0
156.26,Credit,Branch,46.0,Engineer,160.0,1.0,7854.1,1
427.0,Credit,Branch,49.0,Engineer,163.0,1.0,8253.65,1
67.57,Debit,Branch,37.0,Engineer,107.0,1.0,2766.12,1
326.29,Debit,Online,56.0,Engineer,179.0,1.0,8171.26,3
158.56,Debit,ATM,33.0,Doctor,100.0,1.0,5401.21,0
56.02,Debit,Online,27.0,Student,142.0,1.0,3548.02,3
245.67,Credit,Branch,24.0,Student,107.0,1.0,752.25,1
152.18,Credit,Online,39.0,Engineer,176.0,4.0,2459.84,2
114.35,Credit,Branch,41.0,Engineer,21.0,1.0,469.12,1
373.27,Credit,Online,61.0,Doctor,79.0,1.0,8441.61,3
504.63,Debit,Online,60.0,Engineer,168.0,1.0,3806.16,3
126.22,Debit,ATM,46.0,Engineer,77.0,4.0,6133.41,2
820.15,Debit,Branch,47.0,Doctor,181.0,1.0,8802.97,1
986.81,Credit,Online,68.0,Doctor,127.0,1.0,14881.77,3
8.37,Debit,ATM,63.0,Retired,135.0,1.0,1106.34,0
197.49,Credit,Online,53.0,Retired,30.0,1.0,5005.33,3
637.97,Debit,Branch,58.0,Retired,90.0,1.0,7949.03,1
13.52,Debit,ATM,26.0,Student,65.0,1.0,259.77,0
432.1,Debit,ATM,49.0,Engineer,240.0,1.0,2114.3,0
375.17,Debit,ATM,51.0,Engineer,66.0,2.0,5495.3,0
642.68,Debit,Branch,50.0,Doctor,94.0,1.0,8461.46,1
78.44,Credit,Online,52.0,Retired,292.0,1.0,6870.84,3
139.72,Debit,Branch,49.0,Engineer,201.0,1.0,5058.83,1
499.99,Debit,Branch,31.0,Engineer,296.0,1.0,8885.0,1
10.07,Debit,Online,24.0,Student,49.0,1.0,530.81,3
120.62,Debit,ATM,23.0,Student,85.0,1.0,9379.53,0
578.49,Debit,Branch,59.0,Retired,180.0,1.0,6475.13,1
119.3,Debit,Branch,34.0,Engineer,22.0,5.0,319.04,2
280.92,Debit,Online,41.0,Doctor,168.0,1.0,5298.85,3
42.42,Debit,Online,21.0,Student,102.0,1.0,490.57,3
77.03,Debit,ATM,67.0,Doctor,259.0,1.0,11310.27,0
22.59,Debit,ATM,62.0,Retired,45.0,1.0,3988.75,0
568.76,Debit,ATM,51.0,Retired,155.0,1.0,7484.32,0
25.94,Credit,Online,58.0,Retired,211.0,5.0,4815.11,2
105.94,Debit,Branch,51.0,Engineer,207.0,1.0,5963.1,1
733.29,Debit,ATM,52.0,Doctor,94.0,5.0,10427.0,2
350.15,Credit,ATM,21.0,Student,195.0,1.0,296.47,0
1151.18,Debit,ATM,65.0,Doctor,105.0,1.0,1100.06,0
183.67,Debit,Online,19.0,Student,238.0,1.0,910.26,3
278.27,Debit,Branch,29.0,Doctor,123.0,1.0,6684.34,1
470.3,Debit,ATM,40.0,Doctor,88.0,1.0,8524.09,0
261.69,Debit,ATM,53.0,Retired,84.0,1.0,5126.65,0
365.04,Debit,Branch,22.0,Student,94.0,1.0,873.89,1
211.1,Debit,Branch,57.0,Retired,136.0,1.0,7059.77,1
21.49,Debit,ATM,58.0,Doctor,240.0,1.0,11991.24,0
63.58,Debit,ATM,18.0,Student,199.0,1.0,8086.04,0
321.86,Debit,ATM,63.0,Doctor,167.0,1.0,12626.49,0
642.54,Debit,Branch,44.0,Engineer,28.0,1.0,3143.17,1
210.45,Debit,ATM,27.0,Student,146.0,1.0,1242.49,0
313.65,Credit,Branch,55.0,Retired,173.0,1.0,1886.36,1
99.76,Debit,Branch,26.0,Student,131.0,1.0,416.89,1
115.32,Debit,Branch,53.0,Retired,113.0,1.0,5929.08,1
33.61,Debit,Online,23.0,Student,72.0,1.0,479.08,3
498.59,Credit,Online,33.0,Doctor,32.0,1.0,5862.99,3
98.81,Debit,Branch,27.0,Student,91.0,1.0,797.1,1
1.87,Debit,ATM,65.0,Retired,147.0,1.0,7287.94,0
78.92,Credit,Online,59.0,Engineer,95.0,1.0,5624.86,3
194.29,Credit,Branch,39.0,Engineer,10.0,1.0,2988.41,1
28.73,Debit,ATM,53.0,Engineer,185.0,1.0,2712.96,0
105.53,Debit,Online,24.0,Student,88.0,1.0,1433.66,3
737.34,Debit,Online,30.0,Doctor,34.0,1.0,7336.56,3
237.86,Debit,ATM,18.0,Student,210.0,1.0,475.63,0
409.61,Debit,Branch,65.0,Doctor,89.0,1.0,11698.15,1
75.53,Credit,Online,21.0,Student,157.0,1.0,1034.35,3
72.75,Debit,ATM,64.0,Doctor,15.0,1.0,12042.79,0
39.11,Debit,Online,26.0,Student,143.0,1.0,518.54,3
1309.79,Debit,ATM,23.0,Student,139.0,1.0,1258.93,0
729.38,Debit,ATM,68.0,Doctor,90.0,1.0,9127.65,0
137.49,Debit,ATM,34.0,Engineer,50.0,1.0,4471.05,0
504.71,Debit,Online,29.0,Engineer,61.0,1.0,6214.54,3
371.47,Credit,Branch,24.0,Student,58.0,1.0,1187.04,1
430.35,Debit,Online,36.0,Doctor,205.0,1.0,354.9,3
230.32,Debit,Branch,35.0,Engineer,56.0,1.0,791.46,1
121.71,Debit,ATM,52.0,Retired,140.0,1.0,5878.89,0
98.87,Debit,Online,20.0,Student,179.0,1.0,533.2,3
117.55,Debit,ATM,24.0,Student,35.0,1.0,897.94,0
244.64,Debit,Branch,30.0,Doctor,103.0,1.0,9159.56,1
321.93,Debit,ATM,45.0,Engineer,12.0,1.0,4392.73,0
1092.73,Debit,Branch,58.0,Retired,11.0,1.0,1390.98,1
283.23,Debit,Online,40.0,Engineer,98.0,1.0,2008.77,3
346.65,Debit,Online,30.0,Engineer,60.0,1.0,6356.96,3
381.62,Debit,Online,64.0,Retired,164.0,1.0,6009.12,3
388.65,Debit,ATM,76.0,Retired,43.0,1.0,7896.85,0
29.22,Debit,ATM,24.0,Student,151.0,1.0,1649.43,0
46.75,Debit,Branch,67.0,Retired,150.0,1.0,2840.43,1
348.64,Debit,Online,57.0,Retired,128.0,1.0,3274.96,3
319.17,Debit,Online,73.0,Retired,81.0,1.0,6501.56,3
73.95,Debit,ATM,26.0,Student,76.0,1.0,363.92,0
389.63,Debit,Online,27.0,Engineer,99.0,1.0,9748.48,3
217.61,Debit,ATM,19.0,Student,45.0,1.0,1404.53,0
199.84,Debit,ATM,21.0,Student,150.0,1.0,706.44,0
56.35,Debit,ATM,44.0,Doctor,75.0,1.0,5095.73,0
248.95,Credit,Branch,65.0,Retired,29.0,1.0,3059.79,1
142.58,Debit,ATM,33.0,Engineer,145.0,1.0,7844.23,0
1020.73,Debit,ATM,28.0,Student,87.0,1.0,1119.61,0
84.34,Debit,Online,58.0,Retired,248.0,3.0,5313.97,2
1607.55,Debit,ATM,31.0,Engineer,156.0,1.0,6227.99,0
333.78,Debit,ATM,60.0,Retired,98.0,1.0,6810.94,0
332.59,Debit,Online,55.0,Retired,143.0,1.0,1457.07,3
236.81,Debit,Branch,22.0,Student,15.0,1.0,813.68,1
417.8,Credit,Branch,27.0,Student,130.0,1.0,1518.82,1
319.27,Debit,ATM,50.0,Doctor,150.0,1.0,10269.78,0
384.1,Debit,Branch,42.0,Engineer,172.0,1.0,672.79,1
820.62,Credit,Branch,61.0,Doctor,158.0,1.0,6024.8,1
474.77,Credit,Online,56.0,Engineer,50.0,1.0,2158.59,3
542.72,Credit,Branch,43.0,Doctor,92.0,1.0,6011.8,1
79.8,Debit,ATM,73.0,Retired,76.0,1.0,6372.58,0
46.24,Debit,Branch,57.0,Engineer,52.0,1.0,2569.56,1
327.8,Debit,ATM,61.0,Doctor,54.0,1.0,10585.48,0
445.79,Debit,ATM,52.0,Doctor,161.0,1.0,717.99,0
55.89,Debit,Online,72.0,Retired,150.0,1.0,3689.65,3
158.41,Debit,Branch,28.0,Student,16.0,1.0,1512.16,1
101.19,Credit,Online,64.0,Doctor,75.0,1.0,14389.45,3
827.14,Debit,Branch,36.0,Engineer,265.0,4.0,9800.21,2
61.97,Debit,ATM,74.0,Retired,95.0,1.0,7014.69,0
27.21,Debit,ATM,79.0,Retired,102.0,1.0,3520.61,0
173.74,Debit,Online,80.0,Retired,64.0,1.0,4913.42,3
176.11,Debit,Branch,38.0,Engineer,105.0,1.0,9155.35,1
88.4,Debit,Online,46.0,Engineer,174.0,1.0,2567.53,3
567.92,Debit,Online,53.0,Retired,14.0,1.0,3779.47,3
138.11,Credit,Online,68.0,Retired,104.0,1.0,4177.65,3
456.93,Credit,Branch,28.0,Engineer,193.0,1.0,7284.76,1
101.42,Debit,Online,66.0,Retired,146.0,1.0,6530.59,3
300.61,Debit,Online,44.0,Doctor,51.0,1.0,7895.54,3
265.94,Debit,Online,54.0,Engineer,132.0,1.0,6781.3,3
345.54,Debit,Online,29.0,Engineer,50.0,1.0,2091.78,3
411.52,Debit,ATM,41.0,Doctor,88.0,1.0,11108.39,0
111.21,Debit,Branch,35.0,Doctor,111.0,1.0,9088.36,1
316.37,Debit,ATM,53.0,Engineer,86.0,1.0,4671.69,0
260.63,Debit,Branch,37.0,Engineer,142.0,1.0,7534.73,1
92.36,Debit,ATM,29.0,Engineer,144.0,1.0,6353.14,0
262.06,Debit,Branch,63.0,Doctor,118.0,1.0,13587.52,1
64.5,Debit,ATM,74.0,Retired,230.0,1.0,1351.24,0
253.55,Debit,ATM,28.0,Engineer,85.0,5.0,2797.26,2
175.94,Debit,ATM,57.0,Retired,89.0,1.0,3728.04,0
199.47,Debit,Online,57.0,Doctor,142.0,1.0,6067.44,3
51.07,Debit,Branch,63.0,Retired,133.0,1.0,4292.16,1
435.86,Debit,ATM,56.0,Retired,134.0,1.0,3801.82,0
74.73,Credit,Branch,64.0,Retired,162.0,1.0,6353.22,1
182.79,Credit,Online,23.0,Student,14.0,1.0,1251.85,3
628.36,Debit,Online,44.0,Doctor,108.0,1.0,11869.71,3
268.39,Debit,Online,29.0,Doctor,177.0,1.0,9409.43,3
362.27,Debit,ATM,80.0,Retired,47.0,1.0,6003.59,0
560.15,Credit,Online,50.0,Engineer,92.0,1.0,817.83,3
351.99,Debit,ATM,80.0,Retired,45.0,2.0,3663.64,0
132.36,Debit,Branch,28.0,Student,160.0,1.0,319.65,1
24.77,Credit,Online,40.0,Engineer,17.0,1.0,478.23,3
668.67,Debit,Online,44.0,Doctor,143.0,4.0,13446.81,2
80.24,Credit,Branch,53.0,Doctor,58.0,1.0,8012.81,1
8.65,Debit,ATM,68.0,Retired,198.0,1.0,4201.22,0
178.91,Debit,ATM,18.0,Student,19.0,1.0,8870.89,0
115.22,Debit,Branch,27.0,Engineer,108.0,1.0,906.2,1
161.63,Debit,Online,46.0,Doctor,276.0,1.0,9286.37,3
542.75,Credit,Branch,70.0,Retired,63.0,1.0,2224.08,1
317.47,Credit,Online,67.0,Doctor,16.0,1.0,14639.28,3
280.99,Debit,Branch,45.0,Engineer,29.0,1.0,9733.59,1
24.19,Debit,ATM,29.0,Engineer,28.0,1.0,2756.2,0
586.85,Debit,ATM,36.0,Doctor,86.0,1.0,6655.15,0
372.41,Debit,ATM,55.0,Retired,143.0,1.0,3233.87,0
383.69,Debit,Online,54.0,Engineer,285.0,1.0,8371.11,3
247.17,Credit,Branch,65.0,Retired,149.0,1.0,2611.64,1
48.78,Credit,Branch,18.0,Student,136.0,1.0,552.06,1
4.15,Credit,Branch,60.0,Retired,119.0,1.0,6017.36,1
60.99,Debit,Branch,34.0,Engineer,58.0,1.0,7281.46,1
408.19,Debit,Branch,26.0,Engineer,241.0,1.0,6847.47,1
524.6,Debit,Branch,58.0,Doctor,76.0,1.0,13017.7,1
108.96,Debit,ATM,26.0,Student,247.0,1.0,7597.66,0
70.03,Debit,Branch,63.0,Retired,49.0,1.0,7330.31,1
124.84,Debit,Online,52.0,Retired,79.0,1.0,6711.78,3
324.04,Debit,ATM,54.0,Retired,30.0,1.0,2248.06,0
39.69,Debit,Online,70.0,Retired,163.0,1.0,3524.68,3
81.27,Credit,Online,22.0,Student,68.0,1.0,1814.48,3
193.82,Debit,Branch,37.0,Engineer,176.0,1.0,3886.77,1
16.73,Debit,Online,79.0,Retired,165.0,1.0,7591.13,3
474.05,Debit,ATM,57.0,Retired,214.0,1.0,1484.31,0
39.21,Debit,ATM,66.0,Doctor,245.0,4.0,9385.57,2
637.75,Debit,Branch,79.0,Retired,152.0,1.0,4202.92,1
153.59,Credit,Branch,66.0,Retired,174.0,1.0,4813.12,1
186.6,Debit,Branch,18.0,Student,139.0,1.0,9716.68,1
644.08,Debit,Online,24.0,Student,55.0,1.0,1980.62,3
226.66,Debit,Branch,41.0,Doctor,168.0,1.0,10216.25,1
305.0,Debit,ATM,22.0,Student,222.0,1.0,944.83,0
233.1,Credit,Branch,42.0,Doctor,37.0,1.0,7469.2,1
793.13,Debit,Online,68.0,Doctor,76.0,1.0,13389.16,3
224.19,Debit,ATM,52.0,Doctor,93.0,1.0,8475.47,0
214.83,Credit,ATM,23.0,Student,63.0,1.0,991.69,0
163.46,Credit,Branch,63.0,Retired,111.0,1.0,6953.8,1
194.99,Debit,Branch,34.0,Engineer,91.0,1.0,1370.03,1
23.4,Debit,ATM,46.0,Doctor,175.0,4.0,14851.28,2
227.5,Debit,Online,34.0,Doctor,277.0,1.0,11505.35,3
259.9,Debit,Online,26.0,Student,100.0,1.0,914.28,3
59.51,Credit,Online,36.0,Doctor,55.0,1.0,9955.88,3
1074.95,Debit,Branch,20.0,Student,91.0,1.0,530.86,1
112.94,Credit,Online,73.0,Retired,31.0,1.0,3807.84,3
11.81,Debit,ATM,21.0,Student,131.0,1.0,320.25,0
329.14,Debit,Branch,55.0,Doctor,14.0,1.0,12033.92,1
154.24,Debit,ATM,61.0,Retired,82.0,1.0,6109.55,0
233.44,Debit,Online,20.0,Student,297.0,1.0,1691.88,3
209.03,Debit,Branch,55.0,Engineer,126.0,1.0,8359.5,1
